Time, Location, On Reward, Lap Number, TTL Number
1752135822235, 235.85493243833346, false, 1, 1
1752135822256, 235.85493243833346, false, 1, 2
1752135822274, 235.85493243833346, false, 1, 3
1752135822293, 235.85493243833346, false, 1, 4
1752135822314, 235.85493243833346, false, 1, 5
1752135822333, 235.85493243833346, false, 1, 6
1752135822353, 235.85493243833346, false, 1, 7
1752135822374, 235.85493243833346, false, 1, 8
1752135822393, 235.85493243833346, false, 1, 9
1752135822413, 235.85493243833346, false, 1, 10
1752135822432, 235.85493243833346, false, 1, 11
1752135822452, 235.85493243833346, false, 1, 12
1752135822473, 235.85493243833346, false, 1, 13
1752135822493, 235.85493243833346, false, 1, 14
1752135822512, 235.85493243833346, false, 1, 15
1752135822532, 235.85493243833346, false, 1, 16
1752135822550, 235.85493243833346, false, 1, 17
1752135822570, 235.85493243833346, false, 1, 18
1752135822591, 235.85493243833346, false, 1, 19
1752135822610, 235.85493243833346, false, 1, 20
1752135822630, 235.85493243833346, false, 1, 21
1752135822701, 235.85493243833346, false, 1, 22
1752135822810, 235.85493243833346, false, 1, 23
1752135822812, 235.85493243833346, false, 1, 24
1752135823041, 235.85493243833346, false, 1, 25
1752135823042, 235.85493243833346, false, 1, 26
1752135823049, 235.85493243833346, false, 1, 27
1752135823210, 235.85493243833346, false, 1, 28
1752135823212, 235.85493243833346, false, 1, 29
1752135823231, 235.85493243833346, false, 1, 30
1752135823251, 235.85493243833346, false, 1, 31
1752135823270, 235.85493243833346, false, 1, 32
1752135823291, 235.85493243833346, false, 1, 33
1752135823311, 235.85493243833346, false, 1, 34
1752135823331, 235.85493243833346, false, 1, 35
1752135823351, 235.85493243833346, false, 1, 36
1752135823362, 235.85493243833346, false, 1, 37
1752135823494, 235.85493243833346, false, 1, 38
1752135823500, 235.85493243833346, false, 1, 39
1752135823501, 235.85493243833346, false, 1, 40
1752135823517, 235.85493243833346, false, 1, 41
1752135823530, 235.85493243833346, false, 1, 42
1752135823542, 235.85493243833346, false, 1, 43
1752135823582, 235.85493243833346, false, 1, 44
1752135823703, 235.85493243833346, false, 1, 45
1752135823721, 235.85493243833346, false, 1, 46
1752135823790, 235.85493243833346, false, 1, 47
1752135823840, 235.85493243833346, false, 1, 48
1752135823927, 235.85493243833346, false, 1, 49
1752135823962, 235.85493243833346, false, 1, 50
1752135823980, 235.85493243833346, false, 1, 51
1752135824009, 235.85493243833346, false, 1, 52
1752135824022, 235.85493243833346, false, 1, 53
1752135824031, 235.85493243833346, false, 1, 54
1752135824032, 235.85493243833346, false, 1, 55
1752135824039, 235.85493243833346, false, 1, 56
1752135824102, 235.85493243833346, false, 1, 57
1752135824170, 235.85493243833346, false, 1, 58
1752135824190, 235.85493243833346, false, 1, 59
1752135824210, 235.85493243833346, false, 1, 60
1752135824288, 235.85493243833346, false, 1, 61
1752135824289, 235.85493243833346, false, 1, 62
1752135824629, 235.85493243833346, false, 1, 63
1752135824649, 235.85493243833346, false, 1, 64
1752135824669, 235.85493243833346, false, 1, 65
1752135824688, 235.85493243833346, false, 1, 66
1752135824709, 235.85493243833346, false, 1, 67
1752135824729, 235.85493243833346, false, 1, 68
1752135824749, 235.85493243833346, false, 1, 69
1752135824769, 235.85493243833346, false, 1, 70
1752135824789, 235.85493243833346, false, 1, 71
1752135824809, 235.85493243833346, false, 1, 72
1752135824829, 235.85493243833346, false, 1, 73
1752135824849, 235.85493243833346, false, 1, 74
1752135824869, 235.85493243833346, false, 1, 75
1752135824888, 235.85493243833346, false, 1, 76
1752135824908, 235.85493243833346, false, 1, 77
1752135824928, 235.85493243833346, false, 1, 78
1752135824948, 235.85493243833346, false, 1, 79
1752135824969, 235.85493243833346, false, 1, 80
1752135824988, 235.85493243833346, false, 1, 81
1752135825008, 235.85493243833346, false, 1, 82
1752135825029, 235.85493243833346, false, 1, 83
1752135825049, 235.85493243833346, false, 1, 84
1752135825069, 235.85493243833346, false, 1, 85
1752135825088, 235.85493243833346, false, 1, 86
1752135825108, 235.85493243833346, false, 1, 87
1752135825128, 235.85493243833346, false, 1, 88
1752135825148, 235.85493243833346, false, 1, 89
1752135825168, 235.85493243833346, false, 1, 90
1752135825189, 235.85493243833346, false, 1, 91
1752135825209, 235.85493243833346, false, 1, 92
1752135825228, 235.85493243833346, false, 1, 93
1752135825249, 235.85493243833346, false, 1, 94
1752135825268, 235.85493243833346, false, 1, 95
1752135825289, 235.85493243833346, false, 1, 96
1752135825309, 235.85493243833346, false, 1, 97
1752135825329, 235.85493243833346, false, 1, 98
1752135825349, 235.85493243833346, false, 1, 99
1752135825368, 235.85493243833346, false, 1, 100
1752135825388, 235.85493243833346, false, 1, 101
1752135825409, 235.85493243833346, false, 1, 102
1752135825428, 235.85493243833346, false, 1, 103
1752135825449, 235.85493243833346, false, 1, 104
1752135825468, 235.85493243833346, false, 1, 105
1752135825488, 235.85493243833346, false, 1, 106
1752135825509, 235.85493243833346, false, 1, 107
1752135825529, 235.85493243833346, false, 1, 108
1752135825548, 235.85493243833346, false, 1, 109
1752135825568, 235.85493243833346, false, 1, 110
1752135825588, 235.85493243833346, false, 1, 111
1752135825608, 235.85493243833346, false, 1, 112
1752135825629, 235.85493243833346, false, 1, 113
1752135825640, 235.85493243833346, false, 1, 114
1752135825662, 235.85493243833346, false, 1, 115
1752135825718, 235.85493243833346, false, 1, 116
1752135825751, 235.85493243833346, false, 1, 117
1752135825771, 235.85493243833346, false, 1, 118
1752135825791, 235.85493243833346, false, 1, 119
1752135825811, 235.85493243833346, false, 1, 120
1752135825831, 235.85493243833346, false, 1, 121
1752135825851, 235.85493243833346, false, 1, 122
1752135825871, 235.85493243833346, false, 1, 123
1752135825891, 235.85493243833346, false, 1, 124
1752135825911, 235.85493243833346, false, 1, 125
1752135825931, 235.85493243833346, false, 1, 126
1752135825951, 235.85493243833346, false, 1, 127
1752135825971, 235.85493243833346, false, 1, 128
1752135825991, 235.85493243833346, false, 1, 129
1752135826011, 235.85493243833346, false, 1, 130
1752135826031, 235.85493243833346, false, 1, 131
1752135826069, 235.85493243833346, false, 1, 132
1752135826088, 235.82714722878984, false, 1, 133
1752135826108, 235.85493243833346, false, 1, 134
1752135826128, 235.85493243833346, false, 1, 135
1752135826149, 235.85493243833346, false, 1, 136
1752135826169, 235.85493243833346, false, 1, 137
1752135826188, 235.85493243833346, false, 1, 138
1752135826208, 235.85493243833346, false, 1, 139
1752135826228, 235.85493243833346, false, 1, 140
1752135826248, 235.85493243833346, false, 1, 141
1752135826269, 235.85493243833346, false, 1, 142
1752135826288, 235.85493243833346, false, 1, 143
1752135826307, 235.85493243833346, false, 1, 144
1752135826327, 235.85493243833346, false, 1, 145
1752135826347, 235.85493243833346, false, 1, 146
1752135826369, 235.85493243833346, false, 1, 147
1752135826382, 235.85493243833346, false, 1, 148
1752135826389, 235.85493243833346, false, 1, 149
1752135826399, 235.85493243833346, false, 1, 150
1752135826401, 235.85493243833346, false, 1, 151
1752135826418, 235.85493243833346, false, 1, 152
1752135826439, 235.82714722878984, false, 1, 153
1752135827043, 235.82714722878984, false, 1, 154
1752135827089, 235.82714722878984, false, 1, 155
1752135827230, 235.743791600159, false, 1, 156
1752135827240, 235.743791600159, false, 1, 157
1752135827362, 235.743791600159, false, 1, 158
1752135827458, 235.743791600159, false, 1, 159
1752135827477, 235.743791600159, false, 1, 160
1752135827486, 235.743791600159, false, 1, 161
1752135827505, 235.743791600159, false, 1, 162
1752135827659, 235.743791600159, false, 1, 163
1752135827667, 235.743791600159, false, 1, 164
1752135827670, 235.743791600159, false, 1, 165
1752135827678, 235.743791600159, false, 1, 166
1752135827686, 235.743791600159, false, 1, 167
1752135827789, 235.743791600159, false, 1, 168
1752135827798, 235.743791600159, false, 1, 169
1752135834215, 235.743791600159, false, 1, 170
1752135834274, 235.743791600159, false, 1, 171
1752135834276, 235.743791600159, false, 1, 172
1752135834284, 235.743791600159, false, 1, 173
1752135834338, 235.743791600159, false, 1, 174
1752135834500, 235.743791600159, false, 1, 175
1752135834563, 235.743791600159, false, 1, 176
1752135834583, 235.743791600159, false, 1, 177
1752135834603, 235.743791600159, false, 1, 178
1752135834622, 235.743791600159, false, 1, 179
1752135834727, 235.743791600159, false, 1, 180
1752135834743, 235.743791600159, false, 1, 181
1752135834763, 235.743791600159, false, 1, 182
1752135834782, 235.743791600159, false, 1, 183
1752135834784, 235.743791600159, false, 1, 184
1752135834802, 235.743791600159, false, 1, 185
1752135834823, 235.743791600159, false, 1, 186
1752135834835, 235.743791600159, false, 1, 187
1752135834865, 235.743791600159, false, 1, 188
1752135834886, 235.743791600159, false, 1, 189
1752135834904, 235.743791600159, false, 1, 190
1752135834924, 235.743791600159, false, 1, 191
1752135834943, 235.743791600159, false, 1, 192
1752135834964, 235.743791600159, false, 1, 193
1752135834984, 235.743791600159, false, 1, 194
1752135835004, 235.743791600159, false, 1, 195
1752135835024, 235.743791600159, false, 1, 196
1752135835044, 235.743791600159, false, 1, 197
1752135835064, 235.743791600159, false, 1, 198
1752135835083, 235.743791600159, false, 1, 199
1752135835103, 235.743791600159, false, 1, 200
1752135835124, 235.743791600159, false, 1, 201
1752135835144, 235.743791600159, false, 1, 202
1752135835163, 235.743791600159, false, 1, 203
1752135835183, 235.743791600159, false, 1, 204
1752135835203, 235.743791600159, false, 1, 205
1752135835223, 235.743791600159, false, 1, 206
1752135835243, 235.743791600159, false, 1, 207
1752135835263, 235.743791600159, false, 1, 208
1752135835283, 235.743791600159, false, 1, 209
1752135835304, 235.743791600159, false, 1, 210
1752135835324, 235.743791600159, false, 1, 211
1752135835344, 235.743791600159, false, 1, 212
1752135835363, 235.743791600159, false, 1, 213
1752135835383, 235.743791600159, false, 1, 214
1752135835404, 235.743791600159, false, 1, 215
1752135835424, 235.743791600159, false, 1, 216
1752135835440, 235.743791600159, false, 1, 217
1752135835504, 235.743791600159, false, 1, 218
1752135835515, 235.743791600159, false, 1, 219
1752135835689, 235.743791600159, false, 1, 220
1752135835696, 235.743791600159, false, 1, 221
1752135835826, 235.743791600159, false, 1, 222
1752135835844, 235.743791600159, false, 1, 223
1752135835863, 235.743791600159, false, 1, 224
1752135835876, 235.743791600159, false, 1, 225
1752135835924, 235.743791600159, false, 1, 226
1752135835943, 235.743791600159, false, 1, 227
1752135835963, 235.743791600159, false, 1, 228
1752135835983, 235.743791600159, false, 1, 229
1752135836003, 235.743791600159, false, 1, 230
1752135836022, 235.743791600159, false, 1, 231
1752135836042, 235.743791600159, false, 1, 232
1752135836062, 235.743791600159, false, 1, 233
1752135836083, 235.743791600159, false, 1, 234
1752135836117, 235.743791600159, false, 1, 235
1752135836691, 235.743791600159, false, 1, 236
1752135836705, 235.743791600159, false, 1, 237
1752135836725, 235.743791600159, false, 1, 238
1752135836744, 235.743791600159, false, 1, 239
1752135836764, 235.743791600159, false, 1, 240
1752135836784, 235.743791600159, false, 1, 241
1752135836804, 235.743791600159, false, 1, 242
1752135836825, 235.743791600159, false, 1, 243
1752135836844, 235.743791600159, false, 1, 244
1752135836865, 235.743791600159, false, 1, 245
1752135836885, 235.743791600159, false, 1, 246
1752135836904, 235.743791600159, false, 1, 247
1752135836924, 235.743791600159, false, 1, 248
1752135836944, 235.743791600159, false, 1, 249
1752135836965, 235.743791600159, false, 1, 250
1752135836985, 235.743791600159, false, 1, 251
1752135837005, 235.743791600159, false, 1, 252
1752135837024, 235.743791600159, false, 1, 253
1752135837045, 235.743791600159, false, 1, 254
1752135837065, 235.743791600159, false, 1, 255
1752135837084, 235.743791600159, false, 1, 256
1752135837105, 235.743791600159, false, 1, 257
1752135837124, 235.743791600159, false, 1, 258
1752135837144, 235.743791600159, false, 1, 259
1752135837164, 235.743791600159, false, 1, 260
1752135837184, 235.743791600159, false, 1, 261
1752135837204, 235.743791600159, false, 1, 262
1752135837224, 235.743791600159, false, 1, 263
1752135837244, 235.743791600159, false, 1, 264
1752135837264, 235.743791600159, false, 1, 265
1752135837284, 235.743791600159, false, 1, 266
1752135837304, 235.743791600159, false, 1, 267
1752135837325, 235.743791600159, false, 1, 268
1752135837345, 235.743791600159, false, 1, 269
1752135837364, 235.743791600159, false, 1, 270
1752135837384, 235.743791600159, false, 1, 271
1752135837405, 235.743791600159, false, 1, 272
1752135837424, 235.743791600159, false, 1, 273
1752135837444, 235.743791600159, false, 1, 274
1752135837464, 235.743791600159, false, 1, 275
1752135837484, 235.743791600159, false, 1, 276
1752135837504, 235.743791600159, false, 1, 277
1752135837525, 235.743791600159, false, 1, 278
1752135837544, 235.743791600159, false, 1, 279
1752135837565, 235.743791600159, false, 1, 280
1752135837584, 235.743791600159, false, 1, 281
1752135837605, 235.743791600159, false, 1, 282
1752135837624, 235.743791600159, false, 1, 283
1752135837644, 235.743791600159, false, 1, 284
1752135837665, 235.743791600159, false, 1, 285
1752135837684, 235.743791600159, false, 1, 286
1752135837705, 235.743791600159, false, 1, 287
1752135837724, 235.743791600159, false, 1, 288
1752135837743, 235.743791600159, false, 1, 289
1752135837764, 235.743791600159, false, 1, 290
1752135837784, 235.743791600159, false, 1, 291
1752135837804, 235.743791600159, false, 1, 292
1752135837823, 235.743791600159, false, 1, 293
1752135837843, 235.743791600159, false, 1, 294
1752135837864, 235.743791600159, false, 1, 295
1752135837883, 235.743791600159, false, 1, 296
1752135837904, 235.743791600159, false, 1, 297
1752135837924, 235.743791600159, false, 1, 298
